Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Akrebatsi 1,GR432KRI045,0.0044,Inland,3,681.8181818,35.01072,25.77839,,,,,
Stavros reservoir,GR432KRI046,0.0023,Inland,1,434.7826087,35.05678,25.75718,,,,,
Bramiana dam lake,GR432KRI050,1.0177,Inland,19,18.66954898,35.0417,25.70016,,,,,
Lygeri of Kritsa,GR432KRI058,0.0019,Inland,1,526.3157895,35.17462,25.66044,,,,,
Exo Lakkonia reservoir,GR432KRI059,0.0013,Inland,1,769.2307692,35.19902,25.65962,,,,,
Livadi temporary pond,GR432KRI063,0.0074,Inland,3,405.4054054,35.22006,25.62842,,,,,
Driros temporary pond,GR432KRI069,0.0348,Inland,8,229.8850575,35.25762,25.63657,,,,,
Kourounes temporary pond,GR432KRI070,0.0063,Inland,5,793.6507937,35.27626,25.63511,,,,,
Ziros pond,GR432KRI267,0.0018,Inland,3,1666.666667,35.07194,26.14057,,,,,
Lamnoni,GR432KRI296,0.0019,Inland,2,1052.631579,35.08036,26.17459,,,,,
Garypa temporary pond,GR433KRI136,0.0063,Inland,2,317.4603175,35.33216,24.7309,,,,,
Potamon dam lake,GR433KRI143,1.2157,Inland,4,3.290285432,35.28016,24.57308,,,,,
Vizari reservoir,GR433KRI144,0.0846,Inland,2,23.64066194,35.21148,24.69464,,,,,
Kissos pond,GR433KRI145,0.0019,Inland,1,526.3157895,35.18945,24.56833,,,,,
Lepidolakkoi of Kare,GR433KRI151,0.0039,Inland,1,256.4102564,35.2918,24.4898,,,,,
Livadi Bourboure,GR433KRI167,0.0585,Inland,4,68.37606838,35.24897,24.27803,,,,,
Mesiako Livadi,GR433KRI259,0.0022,Inland,1,454.5454545,35.25618,24.27499,,,,,
Karines mining pools,GR433KRI264,0.0088,Inland,2,227.2727273,35.25455,24.49846,,,,,
Lepidolakkoi of Armenoi,GR433KRI266,0.002,Inland,4,2000,35.29613,24.47272,,,,,
Klisidi temporary pond,GR433KRI280,0.001,Inland,1,1000,35.26255,24.65362,,,,,
Panagia Kera reservoir,GR433KRI281,0.0027,Inland,3,1111.111111,35.3159,24.51543,,,,,
Lepidolakkoi of Sellia,GR433KRI282,0.0014,Inland,1,714.2857143,35.28902,24.5136,,,,,
Kournas lake,GR434KRI164,0.7165,Inland,87,121.4235869,35.33078,24.27545,,,,,
Argyroupoli wastewater treatment swamp,GR434KRI165,0.0046,Inland,9,1956.521739,35.29256,24.33158,,,,,
Omalos Chanion temporary pond,GR434KRI196,0.0079,Inland,14,1772.151899,35.32491,23.891,,,,,
Agia lake,GR434KRI197,0.2938,Inland,83,282.5051055,35.47563,23.93329,,,,,
Chrysoskalitisa reservoir,GR434KRI213,0.1037,Inland,1,9.643201543,35.30793,23.54576,,,,,
Limni,GR434KRI218,0.0054,Inland,1,185.1851852,35.37104,23.63251,,,,,
Tersana small pond,GR434KRI318,0.0046,Inland,5,1086.956522,35.56605,24.08585,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
