Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Emponas mining pool,GR421ROD018,0.0034,Inland,1.0,294.1176471,36.25181,27.88504,0.15024758875370026,0.0040769996121525,0.0136071573942899,0.11532624065876
Skaloniti reservoir,GR421ROD020,0.0642,Inland,2.0,31.15264798,36.01016,27.87411,0.4269431233406067,0.2967582046985626,0.3308972120285034,0.4432633817195892
Kattavia marsh,GR421ROD022,1.7156,Inland,11.0,6.411750991,35.94273,27.77832,0.26855897903442383,0.1723035275936126,0.2015281021595001,0.2687495648860931
Gennadi Anonymous ponds,GR421ROD026,0.0051,Inland,5.0,980.3921569,36.02823,27.89204,0.4269431233406067,0.2967582046985626,0.3308972120285034,0.4432633817195892
Epta Piges dam,GR421ROD029,0.0017,Inland,3.0,1764.705882,36.25368,28.11358,0.4142402112483978,0.2795427143573761,0.3155609667301178,0.4355406463146209
Kritinia dam artificial pool,GR421ROD038,0.0046,Inland,2.0,434.7826087,36.26319,27.85106,0.15024758875370026,0.0040769996121525,0.0136071573942899,0.11532624065876
Aladinos stream (Megalos Potamos),GR422AND005,0.0028,Inland,9.0,3214.285714,37.81001,24.90021,0.12290366739034653,0.0037410592194646,0.0185632295906543,0.1190267577767372
Varvarakaina artificial pond,GR422KIM007,0.0098,Inland,3.0,306.122449,36.81912,24.59139,,,,
Kalamitsi artificial pond,GR422KIM008,0.0024,Inland,4.0,1666.666667,36.77579,24.54738,0.29311731457710266,0.1787283569574356,0.2520465552806854,0.324125736951828
Deka artificial pond 1,GR422KIM009,0.0029,Inland,7.0,2413.793103,36.78461,24.54266,0.29311731457710266,0.1787283569574356,0.2520465552806854,0.324125736951828
Deka artificial pond 2,GR422KIM010,0.0015,Inland,5.0,3333.333333,36.78482,24.54121,0.29311731457710266,0.1787283569574356,0.2520465552806854,0.324125736951828
Provatas marshes (1 and 2),GR422MIL004,0.0435,Inland,14.0,321.8390805,36.68069,24.44294,,,,
Zefyria artificial pond,GR422MIL005,0.0055,Inland,3.0,545.4545455,36.706,24.48692,,,,
Chondro Vouno mining pool 1,GR422MIL008,0.0114,Inland,4.0,350.877193,36.71614,24.52963,0.3845784366130829,0.2497061789035797,0.3485054969787597,0.4228377938270569
Chondro Vouno mining pool 2,GR422MIL009,0.017,Inland,4.0,235.2941176,36.72226,24.53094,0.3845784366130829,0.2497061789035797,0.3485054969787597,0.4228377938270569
Agioi Anargyroi mining pool 1,GR422MIL015,0.0234,Inland,3.0,128.2051282,36.73938,24.50043,0.3845784366130829,0.2497061789035797,0.3485054969787597,0.4228377938270569
Brostini Spilia mining pool 1,GR422MIL016,0.0029,Inland,1.0,344.8275862,36.69654,24.35923,0.21397089958190918,0.1193603202700614,0.1412573754787445,0.2092998772859573
Agioi Anargyroi mining pool 2,GR422MIL018,0.0414,Inland,3.0,72.46376812,36.73918,24.49252,,,,
Marathi dam lake,GR422MYK002,0.3369,Inland,4.0,11.87295934,37.46635,25.35956,0.4991612732410431,0.4347517490386963,0.4755569696426391,0.5222167372703552
Maos/Ano Mera dam lake,GR422MYK003,0.1364,Inland,4.0,29.3255132,37.47543,25.41042,0.4991612732410431,0.4347517490386963,0.4755569696426391,0.5222167372703552
Airport ponds,GR422MYK006,0.0031,Inland,5.0,1612.903226,37.43287,25.34746,0.4991612732410431,0.4347517490386963,0.4755569696426391,0.5222167372703552
Faneromeni dam lake,GR422NAX009,0.1264,Inland,12.0,94.93670886,37.13936,25.47032,0.0882037878036499,0.0029033643659204,0.0116763636469841,0.0751111134886741
Vaketa dam lake,GR422TIN010,0.0301,Inland,6.0,199.3355482,37.54919,25.1728,0.2637060880661011,0.1725400239229202,0.1948391646146774,0.2583342492580414
Omalos Vianou temporary pond,GR431KRI086,0.4518,Inland,2.0,4.426737494,35.07181,25.45425,0.5452150106430054,0.420513778924942,0.4740383625030517,0.5772932767868042
Karavados reservoir,GR431KRI096,0.0279,Inland,4.0,143.3691756,35.07777,25.33902,0.3908824026584625,0.2162714600563049,0.2715360224246979,0.4337245225906372
Skinias reservoir,GR431KRI097,0.0627,Inland,16.0,255.1834131,35.06521,25.30685,0.5743386149406433,0.4601938426494598,0.5096099376678467,0.6050471663475037
Livada Thrapsanou artificial pond,GR431KRI101,0.0254,Inland,15.0,590.5511811,35.19714,25.28639,0.22939451038837433,0.0058570359833538,0.0610836409032344,0.2580597698688507
Agios Syllas artificial pond,GR431KRI112,0.0076,Inland,5.0,657.8947368,35.24683,25.12777,0.2363709956407547,0.0064648590050637,0.073866493999958,0.2789243757724762
Partira dam lake,GR431KRI120,0.0777,Inland,13.0,167.3101673,35.12833,25.21573,0.3894641101360321,0.2290035784244537,0.2876722514629364,0.4342495799064636
