Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
MATHIATIS RECHARGE WIER No.2,CY000NIC114,0.0097146,Inland,11,1132.316307,34.98807,33.33903
AMMATI LAKE- STRAKKA,CY000NIC116,0.0047267,Inland,3,634.69228,35.09508,33.29263
NEAR EAST UNIVERSITY LAKE No.1,CY000NIC117,0.0048644,Inland,3,616.7255982,35.2267,33.32124
XYLIATOS LAKE,CY000NIC118,0.008466,Inland,3,354.3586109,35.03994,33.0402
SOLEA RESERVOIR,CY000NIC119,0.1398273,Inland,2,14.3033585,35.06646,32.90265
KALYVAKIA  RECHARGE WIER,CY000NIC120,0.0002988,Inland,5,16733.60107,35.24743,33.55402
MANDRES REED BED,CY000NIC124,0.0080812,Inland,3,371.2319952,35.21397,33.38559
PERISTERONA RECHARGEWIER No.2,CY000NIC125,0.009563,Inland,2,209.1393914,35.12408,33.08567
TAILING POND ABANDONED MINERAL ENRICHMENT PLANT HCM MITSERO No.2,CY000NIC126,0.0111276,Inland,4,359.4665516,35.07243,33.13113
LAGOUDERA IRRIGATION TANK,CY000NIC127,0.0135195,Inland,5,369.8361626,34.96793,33.01765
LEXENICO LAKE,CY000NIC128,0.0065048,Inland,6,922.3957693,34.93661,33.31236
KOURTELLARIS LAKE,CY000NIC130,0.0078684,Inland,7,889.6344873,35.05734,33.24964
PAPIRES LAKE- STRAKKA,CY000NIC131,0.0052537,Inland,2,380.6840893,35.09287,33.28767
GIALIAS RIVER RECHARGE WIER - KOTSIATIS,CY000NIC132,0.0018157,Inland,7,3855.262433,34.99915,33.33847
GIALIAS RIVER RECHARGE WIER - NISOU,CY000NIC133,0.0183209,Inland,3,163.7474142,35.02018,33.3991
ARCHANGELOS POND,CY000NIC134,0.0034686,Inland,2,576.6015107,35.1356,33.30917
KOUTIS RIVER RECHARGE WIER - AGIOI TRIMITHIAS No.2,CY000NIC136,0.0084424,Inland,1,118.4497299,35.11673,33.20435
GIALIAS RIVER RECHARGE WIER - PERA HORIO No.1,CY000NIC137,0.0014781,Inland,7,4735.809485,35.02068,33.3742
GIALIAS RIVER RECHARGE WIER - PERA HORIO No.2,CY000NIC138,0.0201738,Inland,5,247.8462164,35.01896,33.37908
GIALIAS RIVER RECHARGE WIER - AGIOS SOZOMENOS No.1,CY000NIC139,0.0126064,Inland,1,79.32478741,35.05308,33.4424
GIALIAS RIVER RECHARGE WIER - DALI No.1,CY000NIC141,0.0087827,Inland,1,113.8602024,35.02457,33.41378
GIALIAS RIVER RECHARGE WIER - AGIOS SOZOMENOS No.2,CY000NIC142,0.0013121,Inland,1,762.1370322,35.05762,33.44762
GIALIAS RIVER RECHARGE WIER - DALI No.2,CY000NIC143,0.0036933,Inland,9,2436.845098,35.0277,33.41876
GIALIAS RIVER RECHARGE WIER - AGIOS SOZOMENOS No.3,CY000NIC145,0.0251718,Inland,5,198.6349804,35.06652,33.45289
GIALIAS RIVER RECHARGE WIER - DALI No.3,CY000NIC146,0.0030939,Inland,3,969.6499564,35.03186,33.42448
GIALIAS RIVER RECHARGE WIER - DALI No.4,CY000NIC147,0.0043944,Inland,3,682.6870563,35.03492,33.42929
GIALIAS RIVER RECHARGE WIER - POTAMIA No.1,CY000NIC149,0.0369414,Inland,3,81.20969969,35.03957,33.43435
GIALIAS RIVER RECHARGE WIER - POTAMIA No.2,CY000NIC150,0.0092601,Inland,2,215.980389,35.0461,33.436
KOUTIS RIVER RECHARGE WIER - PALIOMETOHO No.1,CY000NIC151,0.007473,Inland,4,535.2602703,35.12128,33.20026
KOUTIS RIVER RECHARGE WIER - PALIOMETOHO No.2,CY000NIC152,0.009788,Inland,1,102.1659174,35.13195,33.18875
KOUTIS RIVER RECHARGE WIER - PALIOMETOHO No.3,CY000NIC153,0.0029165,Inland,2,685.7534716,35.13448,33.18409
KOUTIS RIVER RECHARGE WIER - PALIOMETOHO No.5,CY000NIC154,0.023978,Inland,2,83.40979231,35.15135,33.16418
AKAKI RIVER RECHARGE WIER No.2,CY000NIC155,0.0214998,Inland,2,93.02412115,35.14465,33.11658
PERISTERONA RIVER RECHARGEWIER No.4,CY000NIC156,0.0210381,Inland,2,95.06561904,35.14437,33.0841
PETRA RIVER RECHARGE BARRIER PANO DIMMA,CY000NIC158,0.0004832,Inland,6,12417.21854,35.07355,32.92397
POLITIKO RIVER RECHARGE WIER,CY000NIC167,0.0014672,Inland,12,8178.844057,35.01926,33.24928
PERA RECHARGE WIER,CY000NIC168,0.0031612,Inland,6,1898.013413,35.02743,33.24911
EPISKOPIO RECHARGE WIER No.1,CY000NIC169,0.0020203,Inland,3,1484.927981,35.04509,33.24434
ERGATES RECHARGE WIER,CY000NIC170,0.0089676,Inland,4,446.0502253,35.05034,33.24979
ANAGIA RECHARGE WIER No.1,CY000NIC171,0.0056179,Inland,7,1246.017195,35.06401,33.25233
ANAGIA RECHARGE WIER No.2,CY000NIC173,0.0107594,Inland,4,371.7679425,35.07061,33.25663
ANAGIA RECHARGE WIER No.3,CY000NIC174,0.006969,Inland,8,1147.940881,35.07445,33.25935
PANO DEFTERA RECHARGE WIER,CY000NIC175,0.0047106,Inland,15,3184.307731,35.07874,33.25748
KATO DEFTERA RECHARGE WIER No.2,CY000NIC177,0.0016249,Inland,15,9231.337313,35.09106,33.28433
KOUTIS RIVER RECHARGE WEIR PALIOMETOCHO ??.4,CY000NIC178,0.0016791,Inland,7,4168.900006,35.13904,33.17973
MENIKO RECHARGE WIER No.2,CY000NIC180,0.0061107,Inland,4,654.5894906,35.09121,33.16926
MITSERO RECHARGE WIER,CY000NIC182,0.0041111,Inland,5,1216.219503,35.02792,33.12113
OROUNTA RECHARGE WIER,CY000NIC184,0.0215909,Inland,6,277.8948539,35.10609,33.08637
OROUNTA IRRIGATION TANK No.1,CY000NIC185,0.0011474,Inland,2,1743.071292,35.10038,33.08862
POTAMI RECHARGE WIER No.1,CY000NIC187,0.0019395,Inland,5,2577.984016,35.09488,33.03794
POTAMI RECHARGE WIER No.2,CY000NIC188,0.0013348,Inland,3,2247.52772,35.09697,33.03386
PANO KOUTRAFAS RECHARGE WIER,CY000NIC190,0.007082,Inland,1,141.20305,35.09603,32.99228
VIZAKIA RECHARGE WIER,CY000NIC191,0.0068928,Inland,4,580.3156917,35.07419,33.0124
FLASOU IRRIGATION TANK,CY000NIC194,0.0020863,Inland,1,479.3174519,35.07147,32.91728
EPISKOPEIO RECHARGE WEIR ??.2,CY000NIC196,0.0021442,Inland,6,2798.246432,35.03955,33.24234
EVRETOU RESERVOIR,CY000PAF001,1.0361735,Inland,5,4.825446704,34.96606,32.47494
KANNAVIOU RESERVOIR,CY000PAF003,0.7816129,Inland,2,2.558811401,34.93175,32.5927
KRITOU MAROTTOU IRRIGATION TANK,CY000PAF004,0.0039166,Inland,1,255.3234949,34.93128,32.58263
POMOS RESERVOIR,CY000PAF006,0.0811156,Inland,6,73.96850914,35.14233,32.57662
AGIA MARINA CHRISOCHOU RESERVOIR,CY000PAF007,0.0293763,Inland,1,34.04104669,35.11699,32.54256
GIALIA RESERVOIR,CY000PAF010,0.0012139,Inland,6,4942.746519,35.09007,32.54986
ARGAKA RESERVOIR,CY000PAF011,0.0903598,Inland,3,33.20060469,35.04736,32.50572
KINOUSA ABANDONED MINE LAKE,CY000PAF012,0.0029214,Inland,2,684.6032724,35.03024,32.51181
KOUKLIA ABANDONED QUARRY LAKE,CY000PAF017,0.0053201,Inland,3,563.8991748,34.69334,32.62098
SECRET VALLEY RESERVOIR CHA POTAMI,CY000PAF018,0.065617,Inland,2,30.47990612,34.69904,32.62553
DIARIZOS OFF-STREAM POND,CY000PAF019,0.002028,Inland,6,2958.579882,34.77808,32.66387
???????????? ???????,CY000PAF020,0.3017431,Inland,6,19.88446463,34.88025,32.74073
ASPROKREMOS RESERVOIR,CY000PAF023,2.6873628,Inland,11,4.09323222,34.74178,32.5643
GOLF POND- SECRET VALLEY GOLF COURSE,CY000PAF024,0.0113662,Inland,2,175.9603034,34.68972,32.59735
GOLF POND- ELEA GOLF COURSE,CY000PAF028,0.0054053,Inland,1,185.0036076,34.75104,32.48095
